
--- [START 2018-02-26_02-24-30] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/science2018/build/dummy-15.3
	out_dir      = /root/share/project/kaggle/science2018/results/mask-single-shot-dummy-15

** net setting **
<class 'net.resnet50_fpn_mask_single_shot_0.model.MaskSingleShotNet'>


** dataset setting **
	WIDTH, HEIGHT = 192, 192
	train_dataset.split = debug1_ids_gray_only_10
	valid_dataset.split = debug1_ids_gray_only_10
	len(train_dataset)  = 10
	len(valid_dataset)  = 10
	len(train_loader)   = 2
	len(valid_loader)   = 3
	batch_size  = 4
	iter_accum  = 1
	batch_size*iter_accum  = 4

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 10

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100   7.8 k 3120.0  0.0 m | 0.232   0.01 0.01   0.11 | 0.214   0.01 0.01   0.10 | 0.409   0.01 0.01   0.19 |  6 hr 19 min
0.0100   7.9 k 3160.0  0.0 m | 0.225   0.01 0.01   0.10 | 0.353   0.01 0.01   0.17 | 0.269   0.01 0.01   0.12 |  6 hr 23 min
0.0100   8.0 k 3200.0  0.0 m | 0.222   0.01 0.01   0.10 | 0.282   0.01 0.01   0.13 | 0.274   0.01 0.01   0.13 |  6 hr 28 min
0.0100   8.1 k 3240.0  0.0 m | 0.221   0.01 0.01   0.10 | 0.331   0.01 0.01   0.15 | 0.256   0.01 0.01   0.12 |  6 hr 33 min
0.0100   8.2 k 3280.0  0.0 m | 0.239   0.01 0.01   0.11 | 0.274   0.02 0.01   0.12 | 0.372   0.01 0.01   0.17 |  6 hr 38 min
0.0100   8.3 k 3320.0  0.0 m | 0.230   0.01 0.01   0.10 | 0.270   0.01 0.01   0.12 | 0.322   0.01 0.01   0.15 |  6 hr 43 min
0.0100   8.4 k 3360.0  0.0 m | 0.228   0.01 0.01   0.10 | 0.258   0.02 0.01   0.12 | 0.236   0.01 0.01   0.11 |  6 hr 48 min
0.0100   8.5 k 3400.0  0.0 m | 0.237   0.01 0.01   0.11 | 0.347   0.01 0.01   0.16 | 0.212   0.01 0.01   0.10 |  6 hr 53 min
0.0100   8.6 k 3440.0  0.0 m | 0.220   0.01 0.01   0.10 | 0.318   0.01 0.01   0.15 | 0.188   0.01 0.01   0.09 |  6 hr 58 min
0.0100   8.7 k 3480.0  0.0 m | 0.217   0.01 0.01   0.10 | 0.361   0.02 0.01   0.17 | 0.163   0.01 0.01   0.07 |  7 hr 03 min
0.0100   8.8 k 3520.0  0.0 m | 0.220   0.01 0.01   0.10 | 0.308   0.01 0.02   0.14 | 0.300   0.01 0.01   0.14 |  7 hr 08 min
0.0100   8.9 k 3560.0  0.0 m | 0.220   0.01 0.01   0.10 | 0.250   0.01 0.01   0.11 | 0.233   0.01 0.01   0.11 |  7 hr 13 min
0.0100   9.0 k 3600.0  0.0 m | 0.218   0.01 0.01   0.10 | 0.295   0.01 0.01   0.14 | 0.222   0.01 0.01   0.10 |  7 hr 18 min
0.0100   9.1 k 3640.0  0.0 m | 0.215   0.01 0.01   0.10 | 0.232   0.01 0.01   0.11 | 0.222   0.01 0.01   0.10 |  7 hr 22 min
